WKT,nombre,descripción,
POINT (-77.0275307 38.9041627),Nodo 371,,
POINT (-77.0271149 38.9039769),Nodo 372,,
POINT (-77.0270371 38.9041773),Nodo 373,,
POINT (-77.029623 38.9052584),Nodo 374,,
POINT (-77.0280974 38.9050079),Nodo 375,,
POINT (-77.0296346 38.9056281),Nodo 376,,
POINT (-77.0280789 38.9056511),Nodo 377,,
POINT (-77.0270462 38.9056406),Nodo 378,,
POINT (-77.0260014 38.9056566),Nodo 379,,
POINT (-77.0260041 38.9050617),Nodo 380,,
POINT (-77.025009 38.9056482),Nodo 381,,
POINT (-77.0239455 38.9056607),Nodo 382,,
POINT (-77.0219606 38.905644),Nodo 383,,
POINT (-77.0199233 38.905632),Nodo 384,,
POINT (-77.0209747 38.9041709),Nodo 385,,
POINT (-77.0466514 38.9062103),Nodo 386,,
POINT (-77.0466728 38.9072372),Nodo 387,,
POINT (-77.0457072 38.9072247),Nodo 388,,
POINT (-77.0448918 38.9072414),Nodo 389,,
POINT (-77.0449133 38.9064482),Nodo 390,,
POINT (-77.0434864 38.9064441),Nodo 391,,
POINT (-77.0434381 38.9072539),Nodo 392,,
POINT (-77.0421627 38.9072497),Nodo 393,,
POINT (-77.0419682 38.9072581),Nodo 394,,
POINT (-77.0416902 38.9064611),Nodo 395,,
POINT (-77.041697 38.9068378),Nodo 396,,
POINT (-77.0415441 38.9065206),Nodo 397,,
POINT (-77.0422728 38.9064653),Nodo 398,,
POINT (-77.0416801 38.9072626),Nodo 399,,
POINT (-77.0406528 38.9072439),Nodo 400,,
POINT (-77.0406145 38.9065716),Nodo 401,,
POINT (-77.0402819 38.9059455),Nodo 402,,
POINT (-77.0392126 38.9062909),Nodo 403,,
POINT (-77.0385018 38.9065434),Nodo 404,,
POINT (-77.0385259 38.9068544),Nodo 405,,
POINT (-77.0385011 38.9072515),Nodo 406,,
POINT (-77.0376737 38.9072354),Nodo 407,,
POINT (-77.0376549 38.9068534),Nodo 408,,
POINT (-77.0373062 38.9069797),Nodo 409,,
POINT (-77.0367759 38.9070578),Nodo 410,,
POINT (-77.0369874 38.9072171),Nodo 411,,
POINT (-77.0366106 38.9061636),Nodo 412,,
POINT (-77.0364515 38.9061636),Nodo 413,,
POINT (-77.0363371 38.90703),Nodo 414,,
POINT (-77.0361017 38.9072319),Nodo 415,,
POINT (-77.0355884 38.9069157),Nodo 416,,
POINT (-77.0354098 38.9068631),Nodo 417,,
POINT (-77.0353792 38.9072438),Nodo 418,,
POINT (-77.035406 38.9076059),Nodo 419,,
POINT (-77.0376395 38.9076348),Nodo 420,,
POINT (-77.0373606 38.9075346),Nodo 421,,
POINT (-77.0367866 38.907471),Nodo 422,,
POINT (-77.0362682 38.9074418),Nodo 423,,
POINT (-77.0357325 38.9075305),Nodo 424,,
POINT (-77.0345698 38.9079295),Nodo 425,,
POINT (-77.0345751 38.9072408),Nodo 426,,
POINT (-77.0345563 38.9066083),Nodo 427,,
POINT (-77.0350257 38.9067304),Nodo 428,,
POINT (-77.0345684 38.9065134),Nodo 429,,
POINT (-77.0338756 38.9062596),Nodo 430,,
POINT (-77.03383 38.9063579),Nodo 431,,
POINT (-77.0323939 38.9056812),Nodo 432,,
POINT (-77.0322685 38.905904),Nodo 433,,
POINT (-77.032118 38.9059709),Nodo 434,,
POINT (-77.0316319 38.9058838),Nodo 435,,
POINT (-77.0505811 38.9020914),Nodo 436,,
POINT (-77.0508171 38.9023586),Nodo 437,,
POINT (-77.0508088 38.9025644),Nodo 438,,
POINT (-77.0505316 38.9029666),Nodo 439,,
POINT (-77.0501903 38.9030982),Nodo 440,,
POINT (-77.0500935 38.9037618),Nodo 441,,
POINT (-77.0501632 38.9052354),Nodo 442,,
POINT (-77.050096 38.9072476),Nodo 443,,
POINT (-77.0487871 38.9072434),Nodo 444,,
POINT (-77.0476381 38.9072383),Nodo 445,,
POINT (-77.0480198 38.9065373),Nodo 446,,
POINT (-77.0480268 38.9064466),Nodo 447,,
